facility_type,23,1
facility_type,12,11
facility_type,68,11
facility_type,49,18
facility_type,54,18
facility_type,53,18
facility_type,28,18
facility_type,36,18
facility_type,48,18
facility_type,50,18
facility_type,52,18
facility_type,56,18
facility_type,43,18
facility_type,39,18
facility_type,38,18
facility_type,42,18
facility_type,40,18
facility_type,55,18
facility_type,51,18
facility_type,47,18
facility_type,44,18
facility_type,41,18
facility_type,35,18
facility_type,46,18
facility_type,37,18
facility_type,45,18
facility_type,57,2
facility_type,31,27
facility_type,30,4
facility_type,14,6
facility_type,16,6
facility_type,15,6
facility_type,17,6
facility_type,13,6
facility_type,10,6
facility_type,21,6
facility_type,34,6
facility_type,19,6
facility_type,29,9
facility_type,59,9
facility_type,62,9
facility_type,60,9
facility_type,61,9
facility_type,32,9
